Gender,Age,Height,Weight,family_history_with_overweight,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,MTRANS,NObeyesdad
Female,21,2,75,yes,yes,2,3,Sometimes,no,2,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Male,23,2,60,no,no,2,4,Frequently,no,2,no,0,0,no,Walking,Normal_Weight
Female,21,2,64,yes,yes,1,3,Sometimes,no,1,no,0,0,no,Public_Transportation,Normal_Weight
Male,21,2,62,yes,yes,2,3,Sometimes,yes,2,no,1,1,Frequently,Public_Transportation,Normal_Weight
Male,21,2,80,no,no,1,3,no,no,2,no,2,0,no,Public_Transportation,Normal_Weight
Female,21,2,65,yes,no,2,3,Sometimes,no,1,no,0,1,no,Public_Transportation,Overweight_Level_II
Male,21,2,72,yes,yes,1,3,Frequently,no,3,no,2,0,Sometimes,Public_Transportation,Normal_Weight
Male,21,2,72,yes,yes,1,3,Frequently,no,3,no,2,0,Sometimes,Public_Transportation,Normal_Weight
Female,20,2,60,yes,no,3,3,Sometimes,no,2,no,1,0,Sometimes,Walking,Normal_Weight
Female,21,2,50,no,yes,2,3,Sometimes,no,2,no,0,0,Sometimes,Public_Transportation,Normal_Weight
Female,21,2,54,yes,yes,3,3,Sometimes,no,3,no,0,1,Sometimes,Walking,Normal_Weight
Female,20,2,44,no,yes,2,3,Sometimes,no,1,no,0,0,Sometimes,Automobile,Normal_Weight
Female,23,2,52,no,yes,3,1,Sometimes,no,2,no,2,2,no,Public_Transportation,Normal_Weight
Female,23,2,55,yes,no,3,3,no,no,2,yes,2,1,no,Public_Transportation,Normal_Weight
Female,22,2,55,no,no,3,4,Always,no,3,no,2,0,no,Public_Transportation,Normal_Weight
Male,23,2,62,no,no,2,4,Frequently,no,2,no,0,0,Sometimes,Automobile,Normal_Weight
Male,22,2,70,yes,yes,2,3,Sometimes,no,1,no,0,1,Sometimes,Automobile,Normal_Weight
Male,21,2,65,yes,no,2,3,Sometimes,no,1,no,0,1,no,Public_Transportation,Normal_Weight
Female,17,2,67,yes,yes,3,1,Sometimes,no,2,no,1,1,no,Walking,Normal_Weight
Male,20,2,55,yes,yes,2,4,Sometimes,no,3,no,2,2,no,Public_Transportation,Insufficient_Weight
Female,21,2,49,yes,yes,2,3,Sometimes,no,3,no,3,1,Sometimes,Public_Transportation,Normal_Weight
Male,20,2,58,no,yes,2,3,Sometimes,no,2,no,3,1,Sometimes,Public_Transportation,Normal_Weight
Male,22,2,62,no,yes,2,1,no,no,2,no,0,0,Sometimes,Public_Transportation,Normal_Weight
Male,22,2,55,yes,yes,2,3,Sometimes,no,2,no,0,2,Sometimes,Automobile,Normal_Weight
Female,21,2,57,yes,yes,2,3,Frequently,no,1,no,1,1,no,Public_Transportation,Normal_Weight
Female,21,2,69,yes,yes,1,3,Frequently,no,2,no,0,1,no,Public_Transportation,Overweight_Level_I
Male,23,2,90,yes,yes,1,3,Always,no,2,no,0,2,Frequently,Public_Transportation,Overweight_Level_II
Male,23,2,95,yes,yes,2,3,Always,no,2,no,0,1,Frequently,Automobile,Obesity_Type_I
Male,30,2,112,yes,yes,1,3,no,yes,2,yes,0,0,Frequently,Automobile,Obesity_Type_II
Male,23,2,60,yes,no,2,3,no,no,3,no,0,1,Sometimes,Public_Transportation,Normal_Weight
Female,23,2,80,yes,yes,2,3,Always,no,2,no,0,2,no,Public_Transportation,Overweight_Level_II
Female,22,2,50,yes,no,3,3,no,no,3,yes,2,1,Sometimes,Public_Transportation,Insufficient_Weight
Female,24,2,60,yes,no,2,3,Sometimes,no,3,yes,1,0,no,Public_Transportation,Normal_Weight
Male,19,2,65,yes,no,2,3,Sometimes,no,3,no,2,1,Sometimes,Bike,Normal_Weight
Male,24,2,85,yes,yes,2,3,Frequently,no,3,no,0,1,Frequently,Public_Transportation,Overweight_Level_II
Female,23,2,45,yes,no,3,3,Sometimes,no,3,yes,2,0,no,Public_Transportation,Insufficient_Weight
Female,24,2,45,yes,no,2,3,no,no,2,no,1,0,no,Public_Transportation,Insufficient_Weight
Female,24,2,80,yes,yes,2,3,Sometimes,no,3,no,0,0,no,Public_Transportation,Overweight_Level_II
Female,23,2,90,yes,yes,2,3,Sometimes,no,3,no,0,1,no,Public_Transportation,Obesity_Type_I
Male,23,2,60,yes,no,2,3,Sometimes,no,2,no,0,0,Sometimes,Public_Transportation,Normal_Weight
Female,19,2,58,no,no,3,3,Sometimes,no,2,yes,0,0,no,Public_Transportation,Normal_Weight
Male,30,2,91,yes,yes,2,3,Frequently,no,2,no,0,0,Sometimes,Public_Transportation,Overweight_Level_II
Male,23,2,86,yes,yes,2,3,Always,no,2,no,0,1,no,Public_Transportation,Obesity_Type_I
Female,19,2,45,no,no,3,3,no,no,3,yes,2,0,no,Walking,Insufficient_Weight
Male,25,2,83,yes,yes,2,3,Frequently,no,2,no,0,1,Sometimes,Public_Transportation,Overweight_Level_II
Male,23,2,58,yes,no,2,3,Sometimes,no,2,no,0,0,no,Public_Transportation,Normal_Weight
Male,21,2,83,yes,yes,2,1,Frequently,no,3,no,1,0,no,Public_Transportation,Normal_Weight
Male,19,2,87,yes,yes,2,3,Sometimes,no,2,no,0,0,no,Public_Transportation,Overweight_Level_I
Female,22,2,65,yes,yes,2,3,Frequently,no,2,yes,1,0,no,Automobile,Normal_Weight
Female,29,2,78,yes,yes,3,3,Sometimes,no,1,no,2,1,Frequently,Automobile,Overweight_Level_II
Female,25,2,93,no,no,3,4,Always,no,1,no,2,0,no,Public_Transportation,Obesity_Type_II
Female,20,2,64,yes,no,3,3,Always,no,2,yes,0,1,Frequently,Public_Transportation,Normal_Weight
Male,55,2,84,yes,no,3,4,Frequently,no,3,yes,3,0,Frequently,Walking,Overweight_Level_I
Female,20,2,57,no,no,3,3,Always,no,2,no,1,0,no,Walking,Normal_Weight
Female,24,2,48,no,yes,3,3,Sometimes,no,2,no,2,0,no,Public_Transportation,Normal_Weight
Male,26,2,70,yes,no,3,1,Frequently,no,2,no,2,0,Frequently,Public_Transportation,Normal_Weight
Female,23,2,60,yes,no,2,3,Sometimes,no,2,no,3,0,Sometimes,Public_Transportation,Normal_Weight
Female,21,2,42,no,no,3,1,Frequently,no,1,no,0,0,Sometimes,Public_Transportation,Insufficient_Weight
Female,21,2,42,no,no,3,1,Frequently,no,1,no,0,0,Sometimes,Public_Transportation,Insufficient_Weight
Male,23,2,70,no,no,2,3,Sometimes,no,2,no,3,1,Frequently,Public_Transportation,Normal_Weight
Female,21,2,63,no,yes,3,1,Sometimes,no,1,no,0,0,Sometimes,Public_Transportation,Normal_Weight
Male,22,2,66,yes,no,2,3,Frequently,no,2,no,0,0,no,Public_Transportation,Normal_Weight
Female,21,2,57,no,yes,2,4,Frequently,no,2,yes,2,0,Sometimes,Automobile,Normal_Weight
Female,22,2,58,yes,yes,3,4,Frequently,no,2,no,1,0,Sometimes,Public_Transportation,Normal_Weight
Female,38,2,80,yes,yes,2,3,Sometimes,no,2,no,0,0,Sometimes,Automobile,Obesity_Type_I
Female,25,2,55,no,yes,2,1,Sometimes,no,2,no,2,0,Sometimes,Public_Transportation,Normal_Weight
Female,25,2,55,no,yes,2,1,Sometimes,no,2,no,2,0,Sometimes,Public_Transportation,Normal_Weight
Male,22,2,90,yes,yes,2,3,Always,no,1,no,0,1,Sometimes,Automobile,Overweight_Level_I
Male,22,2,95,yes,no,2,3,Sometimes,no,3,no,3,2,no,Walking,Obesity_Type_I
Female,21,2,88,yes,yes,3,1,Sometimes,no,3,no,2,1,no,Public_Transportation,Obesity_Type_I
Male,21,2,75,yes,yes,3,3,Sometimes,no,2,no,0,1,Sometimes,Public_Transportation,Normal_Weight
Female,22,2,58,yes,yes,2,1,Sometimes,no,1,no,0,0,no,Public_Transportation,Normal_Weight
Female,18,2,51,yes,yes,2,4,Frequently,no,2,no,1,0,Sometimes,Public_Transportation,Normal_Weight
Female,22,2,49,yes,no,2,1,Sometimes,no,2,no,3,0,no,Walking,Normal_Weight
Female,19,2,62,yes,yes,3,1,Frequently,no,2,no,1,0,Frequently,Public_Transportation,Normal_Weight
Female,17,2,57,yes,yes,3,3,Frequently,no,2,no,0,1,no,Public_Transportation,Normal_Weight
Female,15,2,86,yes,yes,3,3,Sometimes,no,1,no,3,2,no,Walking,Obesity_Type_I
Female,17,2,85,yes,no,2,3,Frequently,no,2,no,1,1,no,Public_Transportation,Overweight_Level_II
Male,23,2,53,yes,yes,2,3,Sometimes,no,2,no,1,1,Sometimes,Public_Transportation,Normal_Weight
Female,19,2,76,yes,no,3,3,Frequently,yes,3,no,2,1,Sometimes,Automobile,Overweight_Level_II
Female,23,2,75,yes,yes,2,3,Frequently,yes,2,no,0,2,no,Walking,Overweight_Level_I
Male,23,2,95,yes,yes,1,3,Frequently,no,2,no,0,2,Frequently,Public_Transportation,Overweight_Level_II
Male,21,2,50,yes,no,3,4,Frequently,no,1,no,1,0,no,Walking,Insufficient_Weight
Male,24,2,67,yes,yes,3,1,Sometimes,no,2,no,1,0,no,Public_Transportation,Normal_Weight
Male,23,2,90,no,yes,3,3,Sometimes,no,1,no,0,0,no,Public_Transportation,Overweight_Level_II
Male,18,2,80,yes,yes,2,3,Always,no,2,no,0,0,Frequently,Public_Transportation,Overweight_Level_I
Male,19,2,68,no,yes,2,3,Sometimes,no,2,no,1,0,Sometimes,Public_Transportation,Normal_Weight
Female,19,2,61,no,yes,3,1,Sometimes,no,3,yes,1,0,Sometimes,Public_Transportation,Normal_Weight
Male,20,2,70,yes,yes,3,3,Frequently,no,1,no,0,0,Sometimes,Public_Transportation,Normal_Weight
Male,27,2,78,no,yes,3,3,Sometimes,no,3,no,1,1,Frequently,Public_Transportation,Overweight_Level_II
Female,20,2,53,yes,yes,2,4,Frequently,no,2,no,1,1,no,Public_Transportation,Normal_Weight
Male,23,2,58,no,no,2,3,Sometimes,no,1,no,1,0,no,Public_Transportation,Normal_Weight
Female,19,2,56,yes,yes,3,3,Frequently,yes,3,yes,1,2,Frequently,Public_Transportation,Normal_Weight
Female,61,2,66,no,yes,3,3,Always,no,2,no,1,1,Frequently,Public_Transportation,Normal_Weight
Male,30,2,109,yes,yes,3,3,Sometimes,no,1,no,2,0,Sometimes,Automobile,Obesity_Type_I
Male,24,2,75,yes,yes,2,3,Sometimes,no,2,no,1,0,Sometimes,Automobile,Overweight_Level_I
Male,25,2,72,yes,yes,2,3,Sometimes,no,2,no,1,1,Sometimes,Public_Transportation,Normal_Weight
Male,44,2,80,yes,no,2,3,Sometimes,yes,3,no,0,0,no,Motorbike,Obesity_Type_I
Male,31,2,75,yes,no,3,3,Always,no,3,yes,3,0,no,Bike,Normal_Weight
Male,25,2,68,no,yes,2,3,Frequently,no,2,no,0,1,no,Public_Transportation,Normal_Weight
Male,23,2,65,yes,yes,3,3,Frequently,no,3,no,1,1,Sometimes,Public_Transportation,Insufficient_Weight
Male,25,2,66,no,yes,3,3,Always,no,2,no,2,0,Frequently,Public_Transportation,Normal_Weight
Male,23,2,94,no,yes,2,3,Frequently,yes,1,no,1,1,Frequently,Automobile,Obesity_Type_I
Female,34,2,75,no,yes,3,1,Sometimes,no,1,no,0,0,Sometimes,Automobile,Overweight_Level_I
Male,22,2,67,yes,no,2,4,Sometimes,no,3,yes,2,2,Sometimes,Public_Transportation,Overweight_Level_I
Male,21,2,70,no,yes,2,1,no,no,3,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Female,24,2,51,no,no,3,3,Frequently,no,2,no,2,2,Frequently,Public_Transportation,Normal_Weight
Female,36,2,80,yes,no,3,3,Sometimes,no,1,no,0,0,Sometimes,Automobile,Obesity_Type_I
Female,27,2,61,no,yes,3,3,Always,no,2,no,0,0,Sometimes,Automobile,Normal_Weight
Female,32,2,90,yes,yes,3,1,Sometimes,no,2,no,2,0,Sometimes,Automobile,Obesity_Type_I
Male,25,2,78,yes,yes,2,1,Sometimes,no,2,no,2,1,Sometimes,Public_Transportation,Normal_Weight
Female,30,2,59,yes,yes,3,3,Sometimes,no,2,no,2,0,Sometimes,Automobile,Normal_Weight
Female,38,2,60,yes,yes,2,1,Always,yes,2,no,0,0,Sometimes,Automobile,Overweight_Level_I
Male,34,2,84,yes,no,2,3,Sometimes,no,3,no,2,0,no,Automobile,Overweight_Level_II
Male,22,2,94,yes,yes,2,3,Sometimes,no,2,no,0,0,Sometimes,Public_Transportation,Obesity_Type_I
Female,31,2,63,yes,yes,3,1,Frequently,no,2,no,1,1,Sometimes,Automobile,Normal_Weight
Female,35,2,45,yes,no,3,3,Frequently,no,1,no,0,1,no,Automobile,Normal_Weight
Male,21,2,60,yes,yes,2,3,Frequently,no,2,no,2,1,Sometimes,Public_Transportation,Normal_Weight
Female,40,2,62,yes,no,3,3,Sometimes,no,3,no,0,0,Sometimes,Automobile,Overweight_Level_I
Male,27,2,78,yes,yes,2,1,Sometimes,no,2,no,0,0,Frequently,Automobile,Overweight_Level_II
Male,20,2,72,yes,no,3,3,Sometimes,yes,1,no,2,1,Sometimes,Public_Transportation,Normal_Weight
Male,55,2,80,no,yes,2,3,Sometimes,no,2,no,1,0,no,Automobile,Overweight_Level_II
Female,21,2,60,yes,yes,3,3,Always,yes,2,no,2,0,Sometimes,Public_Transportation,Normal_Weight
Male,25,2,75,no,no,3,3,Frequently,no,2,yes,3,0,no,Public_Transportation,Normal_Weight
Male,35,2,85,yes,no,3,3,Frequently,no,3,no,2,1,Sometimes,Automobile,Overweight_Level_II
Male,30,2,130,yes,no,2,3,Sometimes,yes,1,no,1,0,Sometimes,Public_Transportation,Obesity_Type_II
Female,29,2,72,yes,no,3,3,Always,no,2,no,0,0,Sometimes,Automobile,Normal_Weight
Male,20,2,80,yes,no,2,3,Sometimes,no,2,no,1,2,no,Walking,Overweight_Level_II
Female,22,2,79,yes,yes,2,1,Sometimes,no,2,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Female,45,2,77,yes,yes,2,3,Frequently,no,1,no,0,0,no,Automobile,Overweight_Level_II
Male,22,2,82,no,yes,2,1,Sometimes,no,2,no,2,1,Sometimes,Public_Transportation,Overweight_Level_II
Male,18,2,58,yes,yes,2,3,Frequently,no,2,no,1,0,Sometimes,Public_Transportation,Normal_Weight
Female,23,2,59,no,no,3,1,Sometimes,no,2,no,1,2,Sometimes,Public_Transportation,Normal_Weight
Male,18,2,64,no,no,3,3,Sometimes,no,2,yes,0,1,no,Public_Transportation,Normal_Weight
Male,21,2,70,no,yes,2,1,no,no,3,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Female,38,2,60,yes,yes,2,3,Sometimes,no,2,no,2,0,no,Public_Transportation,Normal_Weight
Female,18,2,48,yes,yes,3,1,Always,no,1,no,1,0,no,Public_Transportation,Normal_Weight
Male,22,2,84,yes,yes,3,3,Frequently,no,2,yes,3,0,Sometimes,Public_Transportation,Normal_Weight
Male,26,2,84,yes,yes,3,3,Frequently,yes,2,no,2,2,Frequently,Public_Transportation,Normal_Weight
Male,21,2,70,no,yes,2,1,no,no,3,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Female,18,2,48,no,yes,2,3,Sometimes,no,2,no,1,0,no,Public_Transportation,Normal_Weight
Female,23,2,67,yes,yes,2,3,Frequently,no,1,no,0,0,Sometimes,Public_Transportation,Normal_Weight
Female,22,2,52,no,yes,3,3,Frequently,no,2,no,0,1,no,Public_Transportation,Insufficient_Weight
Female,23,1,60,yes,yes,2,1,Sometimes,yes,1,no,0,0,Sometimes,Public_Transportation,Overweight_Level_II
Male,21,2,70,no,yes,2,1,no,no,3,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Female,31,2,68,no,no,3,3,Sometimes,no,2,no,1,0,Sometimes,Automobile,Overweight_Level_I
Male,39,2,96,yes,no,2,3,Sometimes,no,3,no,1,0,Frequently,Automobile,Obesity_Type_I
Male,25,2,98,yes,no,2,3,Sometimes,no,3,no,3,2,no,Public_Transportation,Obesity_Type_I
Male,35,2,105,yes,yes,3,1,no,no,3,no,3,1,Frequently,Automobile,Obesity_Type_I
Female,33,2,62,yes,yes,2,3,Sometimes,no,2,no,1,1,no,Public_Transportation,Normal_Weight
Male,20,2,56,no,yes,2,3,Sometimes,no,2,no,1,0,Sometimes,Public_Transportation,Normal_Weight
Male,26,2,80,yes,yes,3,1,Frequently,yes,2,yes,2,0,Sometimes,Public_Transportation,Overweight_Level_I
Male,20,2,85,yes,no,3,3,Sometimes,no,3,yes,3,0,Sometimes,Automobile,Overweight_Level_I
Male,20,2,68,no,no,2,1,Frequently,no,3,yes,2,1,no,Public_Transportation,Normal_Weight
Female,23,2,83,yes,yes,3,3,Frequently,no,3,no,3,0,no,Public_Transportation,Obesity_Type_I
Male,19,2,85,yes,yes,3,3,Sometimes,no,2,no,1,1,Sometimes,Walking,Overweight_Level_I
Male,22,2,74,yes,no,2,3,Sometimes,no,2,no,1,2,Sometimes,Bike,Normal_Weight
Male,41,2,118,yes,yes,2,3,Sometimes,no,2,no,0,0,Sometimes,Bike,Obesity_Type_II
Female,18,2,40,yes,yes,2,1,Frequently,no,1,no,0,2,no,Public_Transportation,Insufficient_Weight
Female,23,2,60,yes,yes,2,1,Sometimes,no,1,no,1,1,Sometimes,Public_Transportation,Normal_Weight
Female,23,2,83,yes,no,3,1,Sometimes,yes,3,no,1,2,Sometimes,Public_Transportation,Obesity_Type_I
Female,41,2,80,yes,yes,2,3,Always,no,1,no,0,0,Sometimes,Automobile,Obesity_Type_I
Female,26,2,102,yes,yes,3,3,Sometimes,yes,1,no,0,1,Sometimes,Public_Transportation,Obesity_Type_III
Male,29,2,90,yes,no,2,3,Sometimes,no,3,no,1,0,Sometimes,Automobile,Obesity_Type_I
Male,27,2,71,yes,yes,2,3,Sometimes,no,2,no,3,2,no,Automobile,Normal_Weight
Female,23,2,78,yes,yes,2,1,Sometimes,yes,2,no,1,0,Frequently,Public_Transportation,Obesity_Type_I
Male,19,2,100,yes,yes,2,3,Frequently,no,2,no,2,0,no,Public_Transportation,Obesity_Type_I
Male,30,2,73,yes,no,2,3,no,no,2,yes,1,0,Sometimes,Walking,Normal_Weight
Female,22,2,65,yes,yes,2,3,Sometimes,no,2,no,1,1,Sometimes,Public_Transportation,Normal_Weight
Female,22,2,65,yes,yes,2,3,Sometimes,no,2,no,1,1,Sometimes,Public_Transportation,Normal_Weight
Male,20,2,114,yes,yes,2,3,Frequently,no,2,no,0,1,no,Public_Transportation,Obesity_Type_II
Female,21,2,51,no,yes,2,1,Sometimes,no,1,no,1,1,no,Public_Transportation,Normal_Weight
Female,24,2,63,yes,no,2,1,Sometimes,no,2,no,0,0,no,Public_Transportation,Overweight_Level_II
Male,21,2,62,yes,yes,3,3,Sometimes,no,2,no,1,0,no,Public_Transportation,Normal_Weight
Male,21,2,53,yes,yes,2,3,Sometimes,no,2,no,1,0,Sometimes,Public_Transportation,Normal_Weight
Male,21,2,70,yes,yes,3,3,Sometimes,no,3,no,0,2,Sometimes,Public_Transportation,Normal_Weight
Female,23,2,63,yes,no,3,3,Frequently,no,2,no,3,0,Sometimes,Walking,Normal_Weight
Male,21,2,75,no,no,2,3,Frequently,no,3,yes,3,1,Frequently,Automobile,Overweight_Level_I
Female,21,2,42,yes,no,1,1,Sometimes,no,2,no,3,0,no,Public_Transportation,Normal_Weight
Female,21,2,68,yes,yes,2,3,Sometimes,no,3,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Female,21,2,78,yes,no,2,3,Frequently,no,2,yes,0,2,Frequently,Public_Transportation,Overweight_Level_I
Male,23,2,82,yes,yes,2,1,Sometimes,no,1,no,1,1,Sometimes,Public_Transportation,Overweight_Level_II
Female,21,2,66,yes,yes,3,4,Always,no,3,no,0,2,no,Public_Transportation,Normal_Weight
Female,22,2,63,yes,yes,3,3,Frequently,no,3,no,1,0,no,Public_Transportation,Normal_Weight
Female,23,2,82,yes,yes,2,1,Sometimes,no,2,no,0,0,no,Public_Transportation,Obesity_Type_I
Male,25,2,121,yes,no,3,3,Sometimes,no,3,no,2,0,Sometimes,Walking,Obesity_Type_II
Female,20,2,50,no,yes,2,3,Sometimes,no,1,no,0,1,no,Automobile,Normal_Weight
Female,24,2,58,no,yes,3,3,Sometimes,no,2,no,1,1,Sometimes,Public_Transportation,Normal_Weight
Female,40,2,80,no,no,3,3,Sometimes,no,3,no,0,0,no,Automobile,Overweight_Level_II
Male,32,2,120,yes,no,3,3,Sometimes,no,3,no,0,2,no,Automobile,Obesity_Type_II
Male,20,2,91,yes,yes,3,4,Sometimes,no,3,no,2,0,Sometimes,Walking,Overweight_Level_I
Female,21,2,66,yes,yes,3,1,Sometimes,yes,3,no,0,0,Sometimes,Public_Transportation,Normal_Weight
Female,51,2,50,yes,no,3,3,Sometimes,yes,3,yes,2,0,no,Public_Transportation,Normal_Weight
Female,34,2,77,yes,no,3,1,Sometimes,no,2,no,1,0,Sometimes,Automobile,Overweight_Level_II
Female,19,2,49,yes,yes,2,1,no,no,2,no,2,0,no,Public_Transportation,Normal_Weight
Female,19,2,70,yes,no,2,1,no,no,2,no,2,0,no,Public_Transportation,Normal_Weight
Female,21,2,59,no,yes,1,3,Always,no,2,yes,3,0,no,Automobile,Normal_Weight
Female,19,2,53,yes,yes,3,3,Sometimes,no,1,no,1,1,no,Public_Transportation,Normal_Weight
Female,20,2,53,no,yes,3,1,Sometimes,no,3,no,1,1,no,Public_Transportation,Normal_Weight
Female,19,2,64,yes,yes,3,3,no,no,3,yes,3,1,no,Public_Transportation,Normal_Weight
Female,17,2,65,no,yes,2,1,Sometimes,no,3,no,1,1,no,Public_Transportation,Normal_Weight
Male,22,2,66,no,yes,3,3,Sometimes,no,2,no,3,0,no,Bike,Overweight_Level_I
Female,20,2,64,yes,yes,1,3,Always,no,2,no,0,2,no,Automobile,Normal_Weight
Male,33,2,99,yes,yes,2,3,Sometimes,yes,3,no,1,0,Sometimes,Automobile,Overweight_Level_II
Female,21,2,49,yes,no,2,1,Sometimes,no,2,yes,2,0,Sometimes,Public_Transportation,Normal_Weight
Female,20,2,49,no,no,3,3,Sometimes,yes,2,no,2,1,Sometimes,Automobile,Insufficient_Weight
Female,20,2,60,no,yes,3,3,Sometimes,no,3,no,0,1,Sometimes,Public_Transportation,Normal_Weight
Female,20,2,52,no,yes,3,3,Frequently,no,1,no,3,1,no,Automobile,Normal_Weight
Male,21,2,72,yes,yes,3,3,Always,no,3,yes,3,0,Sometimes,Automobile,Normal_Weight
Male,21,2,78,yes,yes,3,1,Sometimes,no,2,no,3,0,Sometimes,Walking,Overweight_Level_I
Female,20,2,75,yes,yes,3,1,Sometimes,no,2,no,1,1,no,Public_Transportation,Overweight_Level_II
Male,20,2,78,yes,no,2,1,Sometimes,no,3,no,0,0,Frequently,Automobile,Overweight_Level_II
Male,56,2,90,yes,no,2,3,Sometimes,yes,2,no,1,0,Frequently,Automobile,Overweight_Level_II
Female,26,2,47,yes,yes,2,1,Sometimes,no,2,no,0,2,Sometimes,Public_Transportation,Normal_Weight
Female,22,2,56,yes,no,3,3,Sometimes,no,2,no,0,0,no,Public_Transportation,Normal_Weight
Male,19,2,81,yes,no,1,3,Sometimes,no,2,no,3,0,no,Bike,Overweight_Level_I
